zoneid1,city,zoneid,zone_name
127,B,9,B_009
128,B,10,B_010
129,B,11,B_011
130,B,12,B_012
131,B,13,B_013
132,B,14,B_014
133,B,15,B_015
134,B,16,B_016
135,B,17,B_017
136,B,18,B_018
137,B,19,B_019
138,B,20,B_020
139,B,21,B_021
140,B,22,B_022
141,B,23,B_023
142,B,24,B_024
143,B,25,B_025
144,B,26,B_026
145,B,27,B_027
146,B,28,B_028
147,B,29,B_029
148,C,0,C_000
149,C,1,C_001
150,C,2,C_002
151,C,3,C_003
152,C,4,C_004
153,C,5,C_005
154,C,6,C_006
155,C,7,C_007
156,C,8,C_008
157,C,9,C_009
158,C,10,C_010
159,C,11,C_011
160,C,12,C_012
161,C,13,C_013
162,C,14,C_014
163,C,15,C_015
164,C,16,C_016
165,C,17,C_017
166,C,18,C_018
167,C,19,C_019
168,C,20,C_020
169,C,21,C_021
170,C,22,C_022
171,C,23,C_023
172,C,24,C_024
173,C,25,C_025
174,C,26,C_026
175,C,27,C_027
176,C,28,C_028
177,C,29,C_029
178,C,30,C_030
179,C,31,C_031
180,C,32,C_032
181,C,33,C_033
182,C,34,C_034
183,C,35,C_035
184,C,36,C_036
185,C,37,C_037
186,C,38,C_038
187,C,39,C_039
188,C,40,C_040
189,C,41,C_041
190,C,42,C_042
191,C,43,C_043
192,C,44,C_044
193,C,45,C_045
194,C,46,C_046
195,C,47,C_047
196,C,48,C_048
197,C,49,C_049
198,C,50,C_050
199,C,51,C_051
200,C,52,C_052
201,C,53,C_053
202,C,54,C_054
203,C,55,C_055
204,C,56,C_056
205,C,57,C_057
206,C,58,C_058
207,C,59,C_059
208,C,60,C_060
209,C,61,C_061
210,C,62,C_062
211,C,63,C_063
212,C,64,C_064
213,C,65,C_065
214,C,66,C_066
215,C,67,C_067
216,C,68,C_068
217,C,69,C_069
218,C,70,C_070
219,C,71,C_071
220,C,72,C_072
221,C,73,C_073
222,C,74,C_074
223,C,75,C_075
224,C,76,C_076
225,C,77,C_077
226,C,78,C_078
227,C,79,C_079
228,C,80,C_080
229,C,81,C_081
230,C,82,C_082
231,C,83,C_083
232,C,84,C_084
233,C,85,C_085
234,C,86,C_086
235,C,87,C_087
236,C,88,C_088
237,C,89,C_089
238,C,90,C_090
239,C,91,C_091
240,C,92,C_092
241,C,93,C_093
242,C,94,C_094
243,C,95,C_095
244,C,96,C_096
245,C,97,C_097
246,C,98,C_098
247,C,99,C_099
248,C,100,C_100
249,C,101,C_101
250,C,102,C_102
251,C,103,C_103
252,C,104,C_104
253,C,105,C_105
254,C,106,C_106
255,C,107,C_107
256,C,108,C_108
257,C,109,C_109
258,C,110,C_110
259,C,111,C_111
260,C,112,C_112
261,C,113,C_113
262,C,114,C_114
263,C,115,C_115
264,C,116,C_116
265,C,117,C_117
266,C,118,C_118
267,C,119,C_119
268,C,120,C_120
269,C,121,C_121
270,C,122,C_122
271,C,123,C_123
272,C,124,C_124
273,C,125,C_125
274,C,126,C_126
275,C,127,C_127
276,C,128,C_128
277,C,129,C_129
278,C,130,C_130
279,C,131,C_131
280,C,132,C_132
281,C,133,C_133
282,C,134,C_134
283,D,0,D_000
284,D,1,D_001
285,D,2,D_002
286,D,3,D_003
287,D,4,D_004
288,D,5,D_005
289,D,6,D_006
290,D,7,D_007
291,D,8,D_008
292,D,9,D_009
293,D,10,D_010
294,D,11,D_011
295,D,12,D_012
296,D,13,D_013
297,D,14,D_014
298,D,15,D_015
299,D,16,D_016
300,D,17,D_017
301,D,18,D_018
302,D,19,D_019
303,D,20,D_020
304,D,21,D_021
305,D,22,D_022
306,D,23,D_023
307,D,24,D_024
308,D,25,D_025
309,D,26,D_026
310,D,27,D_027
311,D,28,D_028
312,D,29,D_029
313,D,30,D_030
314,D,31,D_031
315,D,32,D_032
316,D,33,D_033
317,D,34,D_034
318,D,35,D_035
319,D,36,D_036
320,D,37,D_037
321,D,38,D_038
322,D,39,D_039
323,D,40,D_040
324,D,41,D_041
325,D,42,D_042
326,D,43,D_043
327,D,44,D_044
328,D,45,D_045
329,D,46,D_046
330,D,47,D_047
331,D,48,D_048
332,D,49,D_049
333,D,50,D_050
334,D,51,D_051
335,D,52,D_052
336,D,53,D_053
337,D,54,D_054
338,D,55,D_055
339,D,56,D_056
340,D,57,D_057
341,D,58,D_058
342,D,59,D_059
343,D,60,D_060
344,D,61,D_061
345,D,62,D_062
346,D,63,D_063
347,D,64,D_064
348,D,65,D_065
349,D,66,D_066
350,D,67,D_067
351,D,68,D_068
352,D,69,D_069
353,D,70,D_070
354,D,71,D_071
355,D,72,D_072
356,D,73,D_073
357,D,74,D_074
358,E,0,E_000
359,E,1,E_001
360,E,2,E_002
361,E,3,E_003
362,E,4,E_004
363,E,5,E_005
364,E,6,E_006
365,E,7,E_007
366,E,8,E_008
367,E,9,E_009
368,E,10,E_010
369,E,11,E_011
370,E,12,E_012
371,E,13,E_013
372,E,14,E_014
373,E,15,E_015
374,E,16,E_016
375,E,17,E_017
376,E,18,E_018
377,E,19,E_019
378,E,20,E_020
379,E,21,E_021
380,E,22,E_022
381,E,23,E_023
382,E,24,E_024
383,E,25,E_025
384,E,26,E_026
385,E,27,E_027
386,E,28,E_028
387,E,29,E_029
388,E,30,E_030
389,E,31,E_031
390,E,32,E_032
391,E,33,E_033
